player_id,version,name,full_name,description,image,height_cm,weight_kg,dob,positions,overall_rating,potential,value,wage,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause,specialities,club_id,club_name,club_league_id,club_league_name,club_logo,club_rating,club_position,club_kit_number,club_joined,club_contract_valid_until,country_id,country_name,country_league_id,country_league_name,country_flag,country_rating,country_position,country_kit_number,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,fk_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,defensive_awareness,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,play_styles
239085,2024-07-08,Erling Haaland,Erling Braut Haaland,"Erling Haaland (Erling Braut Haaland, born 21 July 2000) is a Norwegian footballer who plays as a striker for British club Manchester City, and the Norway national team. In the game FC 24, his overall rating is 91.",https://cdn.sofifa.net/players/239/085/24_120.png,195,94,2000-07-21,ST,91,94,€185M,€340K,Left,3 ,3 ,5 ,High/High,Unique,Yes,€356.1M,"Aerial threat,Distance shooter,Strength,Clinical finisher,Complete forward",10,Manchester City,13,Premier League,https://cdn.sofifa.net/meta/team/9/30.png,85,ST,9,2022-07-01,2027,1352,Norway,78,Friendly International,https://cdn.sofifa.net/meta/team/18578/30.png,76,ST,9,47,96,83,77,90,79,77,62,63,82,82,94,78,94,72,94,93,76,93,86,87,43,96,74,86,87,38,47,29,7,14,13,11,7,"Acrobatic +,Power Header,Quick Step"
231747,2024-07-08,Kylian Mbappé,Kylian Mbappé Lottin,"Kylian Mbappé (Kylian Mbappé Lottin, born 20 December 1998) is a French footballer who plays as a striker for French club Paris Saint Germain, and the France national team. In the game FC 24, his overall rating is 91.",https://cdn.sofifa.net/players/231/747/24_120.png,182,75,1998-12-20,"ST,LW",91,94,€181.5M,€230K,Right,4 ,5 ,5 ,High/Low,Unique,Yes,€349.4M,"Speedster,Dribbler,Acrobat,Clinical finisher,Complete forward",73,Paris Saint Germain,16,Ligue 1,https://cdn.sofifa.net/meta/team/591/30.png,83,ST,7,2018-07-01,2024,1335,France,78,Friendly International,https://cdn.sofifa.net/meta/team/18647/30.png,84,LW,10,78,94,73,86,84,93,80,69,71,92,97,97,93,93,82,90,88,88,77,83,64,38,93,83,84,88,26,34,32,13,5,7,11,6,"Quick Step +,Finesse Shot,Rapid,Flair,Trivela,Acrobatic,Solid Player"
192985,2024-07-08,Kevin De Bruyne,Kevin De Bruyne,"Kevin De Bruyne (born 28 June 1991) is a Belgian footballer who plays as a center midfield for British club Manchester City, and the Belgium national team. In the game FC 24, his overall rating is 91.",https://cdn.sofifa.net/players/192/985/24_120.png,181,75,1991-06-28,"CM,CAM",91,91,€103M,€350K,Right,5 ,4 ,5 ,High/Medium,Unique,Yes,€190.6M,"Dribbler,Playmaker,Distance shooter,Crosser,Complete midfielder",10,Manchester City,13,Premier League,https://cdn.sofifa.net/meta/team/9/30.png,85,CAM,17,2015-08-30,2025,1325,Belgium,78,Friendly International,https://cdn.sofifa.net/meta/team/18743/30.png,81,CAM,7,95,85,55,94,83,86,92,83,94,92,74,74,76,92,78,92,73,88,75,92,75,66,88,95,83,88,66,70,53,15,13,5,10,13,"Incisive Pass +,Dead Ball,Pinged Pass,Long Ball Pass,Whipped Cross,Trivela,Long Shot Taker (CPU AI),Injury Prone,Leadership"
188545,2024-07-08,Robert Lewandowski,Robert Lewandowski,"Robert Lewandowski (born 21 August 1988) is a Polish footballer who plays as a striker for Spanish club FC Barcelona, and the Poland national team. In the game FC 24, his overall rating is 90.",https://cdn.sofifa.net/players/188/545/24_120.png,185,81,1988-08-21,ST,90,90,€58M,€340K,Right,4 ,4 ,5 ,High/Medium,Unique,Yes,€118.9M,"Aerial threat,Dribbler,Distance shooter,Clinical finisher,Complete forward",241,FC Barcelona,53,La Liga,https://cdn.sofifa.net/meta/team/83/30.png,84,ST,9,2022-07-18,2026,1353,Poland,78,Friendly International,https://cdn.sofifa.net/meta/team/18699/30.png,77,RS,9,76,93,91,84,89,86,79,85,70,90,76,75,77,93,83,91,92,76,89,84,81,49,94,81,90,88,35,42,19,15,6,12,8,10,"Power Header +,Finesse Shot,Chip Shot,Power Shot,Incisive Pass,First Touch,Trivela,Solid Player"
158023,2024-07-08,Lionel Messi,Lionel Andrés Messi Cuccittini,"Lionel Messi (Lionel Andrés Messi Cuccittini, born 24 June 1987) is an Argentine footballer who plays as a center forward for American club Inter Miami, and the Argentina national team. In the game FC 24, his overall rating is 90.",https://cdn.sofifa.net/players/158/023/24_120.png,169,67,1987-06-24,"CF,CAM",90,90,€41M,€23K,Left,4 ,4 ,5 ,Low/Low,Unique,Yes,€57.4M,"Dribbler,Playmaker,FK Specialist,Acrobat,Clinical finisher,Complete midfielder,Complete forward",112893,Inter Miami,39,Major League Soccer,https://cdn.sofifa.net/meta/team/239235/30.png,75,RW,10,2023-07-16,2025,1369,Argentina,78,Friendly International,https://cdn.sofifa.net/meta/team/18644/30.png,83,RW,10,83,89,60,91,86,96,93,93,90,93,87,74,91,88,95,83,71,70,68,90,44,40,91,92,75,96,20,35,24,6,11,15,14,8,"Technical +,Finesse Shot,Dead Ball,Incisive Pass,Tiki Taka,Quick Step,Trivela,Long Shot Taker (CPU AI)"
212831,2024-07-08,Alisson,Alisson Ramsés Becker,"Alisson (Alisson Ramsés Becker, born 2 October 1992) is a Brazilian footballer who plays as a goalkeeper for British club Liverpool. In the game FC 24, his overall rating is 89.",https://cdn.sofifa.net/players/212/831/24_120.png,193,91,1992-10-02,GK,89,89,€68.5M,€180K,Right,3 ,1 ,5 ,Medium/Medium,Unique,Yes,€126.7M,,9,Liverpool,13,Premier League,https://cdn.sofifa.net/meta/team/8/30.png,83,GK,1,2018-07-19,2027,,,,,,,,,17,13,29,60,20,27,19,18,58,42,60,49,40,87,37,64,82,32,78,14,27,11,13,66,23,66,15,19,16,86,85,85,90,89,"Far Throw,Cross Claimer,Rush Out"
209331,2024-07-08,Mohamed Salah,Mohamed Salah Ghaly,"Mohamed Salah (Mohamed Salah Ghaly, born 15 June 1992) is an Egyptian footballer who plays as a right winger for British club Liverpool. In the game FC 24, his overall rating is 89.",https://cdn.sofifa.net/players/209/331/24_120.png,175,72,1992-06-15,RW,89,89,€85.5M,€260K,Left,3 ,4 ,5 ,High/Medium,Unique,Yes,€158.2M,"Dribbler,Acrobat,Clinical finisher,Complete forward",9,Liverpool,13,Premier League,https://cdn.sofifa.net/meta/team/8/30.png,83,RW,11,2017-07-01,2025,,,,,,,,,80,92,59,85,83,88,84,69,77,86,89,89,89,93,91,82,81,87,77,84,63,55,92,85,81,90,38,43,41,14,14,9,11,14,"Finesse Shot +,Chip Shot,Rapid,Trivela"
203376,2024-07-08,Virgil van Dijk,Virgil van Dijk,"Virgil van Dijk (born 8 July 1991) is a Dutch footballer who plays as a center back for British club Liverpool, and the Netherlands national team. In the game FC 24, his overall rating is 89.",https://cdn.sofifa.net/players/203/376/24_120.png,193,92,1991-07-08,CB,89,89,€70.5M,€220K,Right,3 ,2 ,4 ,Medium/High,Unique,Yes,€130.4M,"Tackling,Tactician,Strength,Complete defender",9,Liverpool,13,Premier League,https://cdn.sofifa.net/meta/team/8/30.png,83,LCB,4,2018-01-01,2025,105035,Netherlands,78,Friendly International,https://cdn.sofifa.net/meta/team/18694/30.png,82,CB,4,53,52,87,80,45,70,60,70,86,77,66,87,59,88,50,81,89,72,93,64,85,88,47,67,62,89,90,91,86,13,10,13,11,11,"Aerial +,Power Header,Long Ball Pass,Jockey,Block,Anticipate,Bruiser,Leadership"
165153,2024-07-08,Karim Benzema,Karim Benzema,"Karim Benzema (born 19 December 1987) is a French footballer who plays as a striker for Saudi Arabian club Al Ittihad. In the game FC 24, his overall rating is 88.",https://cdn.sofifa.net/players/165/153/24_120.png,185,81,1987-12-19,"ST,CF",88,88,€39M,€86K,Right,4 ,4 ,5 ,Medium/Medium,Normal (170-185),Yes,€62.4M,"Poacher,Clinical finisher",607,Al Ittihad,350,Pro League,https://cdn.sofifa.net/meta/team/476/30.png,75,ST,9,2023-07-01,2026,,,,,,,,,75,89,90,89,88,87,82,73,76,91,76,77,77,88,72,87,84,80,80,81,63,39,90,88,71,88,43,24,18,13,11,5,5,7,"First Touch +,Finesse Shot,Incisive Pass,Tiki Taka,Relentless,Trivela"
167495,2024-07-08,Manuel Neuer,Manuel Peter Neuer,"Manuel Neuer (Manuel Peter Neuer, born 27 March 1986) is a German footballer who plays as a goalkeeper for German club FC Bayern München, and the Germany national team. In the game FC 24, his overall rating is 87.",https://cdn.sofifa.net/players/167/495/24_120.png,193,93,1986-03-27,GK,87,87,€9M,€55K,Right,4 ,1 ,5 ,Medium/Medium,Unique,Yes,€14.9M,,21,FC Bayern München,19,Bundesliga,https://cdn.sofifa.net/meta/team/503/30.png,84,GK,1,2011-07-01,2025,1337,Germany,78,Friendly International,https://cdn.sofifa.net/meta/team/18660/30.png,85,GK,1,15,13,25,60,11,30,14,11,68,46,48,50,51,84,35,68,77,43,80,16,29,30,12,70,47,70,17,10,11,84,85,90,88,84,"Pinged Pass,Far Throw,Cross Claimer,Rush Out,Injury Prone,Leadership"
